Date,Rating,Title,Review
"November 22, 2019",1,"AVOID THIS COMPANY, RUDE, USELESS CUSTOMER SERVICE, NO ITEM DISPATCHED, WOULDN'T REFUND","*WHEN CONTACTING CUSTOMER SERVICE OVER THE LIVE CHAT FUNCTION, BEFORE YOU CLOSE THE CHAT BOX, CLICK THE LETTER ICON AT THE TOP RIGHT TO SEND THE CHAT TRANSCRIPT TO YOURSELF, AS IT IS NOT AUTOMATIC, YOU MAY NEED IT AS I DID!*Item didn't show on the delivery date, had to talk to 3 people (first one took 24 minutes to get to!) on ASOS customer service before I got a straight answer, the first 2 just told me to wait til midnight (they don't seem to realize that some people have to get up early!) to see if it arrived, which I did and as I guessed, no package. Last guy was pretty helpful, reckoned the parcel could have been lost on the way to the delivery depot so he issued a replacement with their fastest delivery but it still may not arrive on time for what I needed it for! Also said it was subject to stock availability, and I have noticed that one of the items on the order is out of stock, so I guess I'm not getting that part of the order! I will NOT be ordering from ASOS again after this, absolute joke.EDIT: Contacted again after no email was received, they now said I was in a queue to get my problem solved. I was not happy, I spent quite a bit on my order and they just cast you aside like that? I asked for a refund as they had not delivered on their promise of a replacement and they then said I would be in a queue for that which could take days (I was fuming at this point). I then said that if my refund was not done within the hour, I would be contacting PayPal, to which they said ""You're welcome to do that"" followed by calling me the wrong name! After this useless customer service representative, I contacted PayPal and provided the transcripts of the SIX people I talked to (who all failed to solve the problem), they said this was out of order and I was refunded within the hour. I will NEVER shop at ASOS for as long as I live."
"November 22, 2019",4,"Great in many ways, they should partner with better shipping companies",ASOS is great on it's own but the deliveries when are not express are a nightmare.  The customer service is awesome always willing to help.My parcel was delivered to who know where and someone whit a complete different name to me signed for it. Now my items are lost
"November 22, 2019",2,Tardy delivery and terrible customer service,"Been a fan of ASOS for years. However it's always disappointing when a package acomes late.Moreover, it seems like ASOS does not take responsibility in ensuring the timely arrival of packages ordered. Customer care which was contacted online just shunt the responsibility saying they can't do anything, this is the courier's contact call them yourself. Is it too much to just want my package on time? Or maybe... some details on where and when it will actually arrive? Hmm..."
"November 21, 2019",1,Bad experience shopping with ASOS,Bad experience shopping with ASOS. Customer service officer couldnt help much. Ordered with them on the 11th November and waited til 21st which I have been told will receive my orders by then but failed. get in touch with them again and telling me to wait another week. couldnt do a refund. treating me like a fool. ASOS is the worst platform to shop with. delivering partner failed big time. customer service is so bad unwilling to help and inform customers. what they did is just asking me to get in touch the next day. gonna write in and make a complain.
"November 21, 2019",5,So helpful,So helpful! Thank you!
"November 21, 2019",5,I spoke with Benjamin and he resolved…,"I spoke with Benjamin and he resolved my issue, very helpful :)"
"November 21, 2019",5,Very professional,"Very professional, effective and pleasant"
"November 21, 2019",5,Very informative and pleasant service,"Thank you to this gentleman for helping me today. Very informative, quick and friendly service."
"November 21, 2019",5,Customer care is excellent,"Customer care is excellent ! so helpful, so quick."
"November 21, 2019",5,great,"great, service was fast"
"November 21, 2019",5,Gwenne was professional and thorough,Gwenne was professional and thorough! She answered all my questions and helped me resolve my issues! 10/10
"November 21, 2019",5,Very helpful,"Very helpful, thank you!"
